84 126
2 3 4
1 3 40
1 2 70
1 5 6
4 6 7
4 5 22
5 8 9
7 9 10
7 8 82
8 11 12
10 12 13
10 11 79
11 14 15
13 15 16
13 14 76
14 17 18
16 18 19
16 17 49
17 20 21
19 21 23
19 20 73
6 23 24
20 22 24
22 23 25
24 26 27
25 27 28
25 26 64
26 29 30
28 30 31
28 29 46
29 32 33
31 33 34
31 32 83
32 35 36
34 36 37
34 35 77
35 38 39
37 39 41
37 38 74
2 41 42
38 40 42
40 41 43
42 44 45
43 45 47
43 44 80
30 47 48
44 46 48
46 47 50
18 50 51
48 49 51
49 50 52
51 53 54
52 54 55
52 53 71
53 56 57
55 57 58
55 56 84
56 59 60
58 60 61
58 59 75
59 62 63
61 63 65
61 62 81
27 65 66
62 64 66
64 65 67
66 68 69
67 69 72
67 68 78
3 71 72
54 70 72
68 70 71
21 74 75
39 73 75
60 73 74
15 77 78
36 76 78
69 76 77
12 80 81
45 79 81
63 79 80
9 83 84
33 82 84
57 82 83
