70 105
2 18 20
3 19 22
0 4 23
1 5 25
2 6 26
3 7 28
4 8 29
5 9 31
32 6 10
34 7 11
35 8 12
37 9 13
38 10 14
40 11 15
16 41 12
17 43 13
18 44 14
19 46 15
0 16 47
1 17 49
0 50 21
36 20 22
1 51 21
2 52 24
39 23 25
3 53 24
4 54 27
42 26 28
5 55 27
6 56 30
45 29 31
7 57 30
33 8 58
32 48 34
33 9 59
36 10 60
35 37 21
36 11 61
39 12 62
38 40 24
39 13 63
64 42 14
41 43 27
65 42 15
16 66 45
44 30 46
17 67 45
48 18 68
33 49 47
48 19 69
65 20 57
64 22 56
67 23 59
66 25 58
69 26 61
68 60 28
51 29 63
50 62 31
32 65 53
64 34 52
35 67 55
66 37 54
69 38 57
68 40 56
51 41 59
50 58 43
53 44 61
52 60 46
55 63 47
49 54 62
