70 105
1 69 41
0 2 52
1 3 59
2 16 4
3 5 25
4 48 6
5 33 7
6 8 40
7 65 9
8 22 10
9 11 29
10 60 12
11 49 13
12 42 14
13 55 15
14 16 66
3 15 17
16 18 30
17 19 39
18 20 62
19 21 47
20 22 54
9 21 23
22 36 24
23 25 43
4 24 26
25 27 63
26 56 28
27 69 29
10 28 30
17 29 31
30 32 44
31 33 53
6 32 34
33 35 61
34 36 68
23 35 37
36 50 38
37 39 57
18 38 40
7 39 41
0 40 42
13 41 43
24 42 44
31 43 45
44 58 46
45 67 47
20 46 48
5 47 49
12 48 50
37 49 51
50 64 52
1 51 53
32 52 54
21 53 55
14 54 56
27 55 57
38 56 58
45 57 59
2 58 60
11 59 61
34 60 62
19 61 63
26 62 64
51 63 65
8 64 66
15 65 67
46 66 68
35 67 69
0 28 68
