70 105
1 69 9
0 2 26
1 33 3
2 4 56
3 5 21
4 6 38
5 7 15
6 48 8
7 9 63
0 8 10
9 19 11
10 36 12
11 57 13
12 42 14
13 31 15
6 14 16
15 17 25
16 18 60
17 19 53
10 18 20
19 21 29
4 20 22
21 23 43
22 50 24
23 65 25
16 24 26
1 25 27
26 40 28
27 29 47
20 28 30
29 67 31
14 30 32
31 33 51
2 32 34
33 35 61
34 36 46
11 35 37
36 66 38
5 37 39
38 52 40
27 39 41
40 42 62
13 41 43
22 42 44
43 69 45
44 54 46
35 45 47
28 46 48
7 47 49
48 50 58
23 49 51
32 50 52
39 51 53
18 52 54
45 53 55
54 64 56
3 55 57
12 56 58
49 57 59
58 68 60
17 59 61
34 60 62
41 61 63
8 62 64
55 63 65
24 64 66
37 65 67
30 66 68
59 67 69
0 44 68
