126 189
1 17 125
0 2 28
1 3 115
2 4 70
3 5 95
4 6 40
5 7 121
6 20 8
7 81 9
8 10 62
9 11 109
10 32 12
11 69 13
12 24 14
13 119 15
14 16 84
15 17 75
0 16 18
17 35 19
18 20 46
7 19 21
20 22 88
21 113 23
22 24 58
13 23 25
24 38 26
25 99 27
26 80 28
1 27 29
28 50 30
29 87 31
30 32 42
11 31 33
32 34 102
33 35 93
18 34 36
35 37 53
36 64 38
25 37 39
38 40 106
5 39 41
40 42 76
31 41 43
42 56 44
43 117 45
44 98 46
19 45 47
46 48 68
47 49 105
48 50 60
29 49 51
50 52 120
51 53 111
36 52 54
53 71 55
54 82 56
43 55 57
56 58 124
23 57 59
58 60 94
49 59 61
60 74 62
9 61 63
62 64 116
37 63 65
64 66 86
65 67 123
66 68 78
47 67 69
12 68 70
3 69 71
54 70 72
71 89 73
72 100 74
61 73 75
16 74 76
41 75 77
76 112 78
67 77 79
78 80 92
27 79 81
8 80 82
55 81 83
82 84 104
15 83 85
84 96 86
65 85 87
30 86 88
21 87 89
72 88 90
89 91 107
90 118 92
79 91 93
34 92 94
59 93 95
4 94 96
85 95 97
96 98 110
45 97 99
26 98 100
73 99 101
100 102 122
33 101 103
102 114 104
83 103 105
48 104 106
39 105 107
90 106 108
107 125 109
10 108 110
97 109 111
52 110 112
77 111 113
22 112 114
103 113 115
2 114 116
63 115 117
44 116 118
91 117 119
14 118 120
51 119 121
6 120 122
101 121 123
66 122 124
57 123 125
0 108 124
